track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
catastrophe,https://open.spotify.com/track/23CIjjRFiqwaAGHmF1p5oX,catastrophe,https://open.spotify.com/album/2jEt25RLXZn6gtav3jtven,"poptropicaslutz!, Magnolia Park","https://open.spotify.com/artist/08DN8ZbOSeuTELiQjc4Jl8, https://open.spotify.com/artist/7B76SsfzG0wWk1WEvGzCmY",2022-12-14,156430,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cavalier,https://open.spotify.com/track/4N9LPYE07fGLDK2EfCpVpn,Cavalier,https://open.spotify.com/album/4MAxgehGTojMbNagyFBIpL,Four Year Strong,https://open.spotify.com/artist/0qqxspZOkbN00bu6DaRIrn,2022-10-19,175306,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Chaparral,https://open.spotify.com/track/7M4iSKfvs69sHcnMyzR3m5,Chaparral,https://open.spotify.com/album/43GNRlvqRRM9Sqm22JabAN,Holy Wave,https://open.spotify.com/artist/0Cx9SrMKbfrkHvnqJLHq6b,2022-07-25,274703,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Charlie Bronson,https://open.spotify.com/track/7dZFOg2cJIz57li5yByDXK,Charlie Bronson,https://open.spotify.com/album/4epVkITSRbajj8VlnOIWvN,Black Honey,https://open.spotify.com/artist/2oVmQT6s29pVIKpqJkyxBS,2022-08-23,204012,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Child of Venus,https://open.spotify.com/track/0akcBCUkcb6Qyl5eOXbzaE,Child of Venus,https://open.spotify.com/album/5pysCqee5hdMdpHWQKdfAP,Amaara,https://open.spotify.com/artist/4RGZo2n4dRjTdUMjY1VYm5,2023-07-24,282132,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Clarity,https://open.spotify.com/track/40bFucvrDJkzz4nHivWdqL,Clarity,https://open.spotify.com/album/1OCfD1UEK435Kbs6jHDmhj,Chiefland,https://open.spotify.com/artist/0u85oIp6ihTxfPkGuECDiW,2022-10-19,210500,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cliff Jumper,https://open.spotify.com/track/1Hx6VlHrgbUePCB4xXCHqN,Like We Knew What It Meant,https://open.spotify.com/album/2FNjRvWkPFTRfmuyh1fPuj,Danvers,https://open.spotify.com/artist/3TZxhNtx2qZeQ2tDaglrxC,2023-05-24,205880,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Clueless,https://open.spotify.com/track/78cwMRpAysEKq5QhFTdl1K,Guilty Pleasure,https://open.spotify.com/album/4lQmVNHg6Rda3X4UkYKwOj,Cheem,https://open.spotify.com/artist/2bRu14RxwtT4Uu9uZI3vdH,2022-08-23,168544,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cold Heart,https://open.spotify.com/track/3EWi57gDY3HaHZdExEFwqW,10 Tracks to Echo in the Dark,https://open.spotify.com/album/5qVcQzxnSthvOT7OOIXDdH,The Kooks,https://open.spotify.com/artist/1GLtl8uqKmnyCWxHmw9tL4,2022-07-25,283253,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cold One Out,https://open.spotify.com/track/3Tij0H6lEtofUkdxX4s3KD,A.M. Overcast,https://open.spotify.com/album/0HHoH26VU9ipSsb4soLLgC,A.M. Overcast,https://open.spotify.com/artist/3keVswOuFwvOp0Dm5jry0k,2022-07-25,115219,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Cruisers' Cross,https://open.spotify.com/track/6xZbcZIsQdhO6RsbKPCjoR,Welshpool Frillies,https://open.spotify.com/album/0t5LjorcMhr4nEmPwefSYv,Guided By Voices,https://open.spotify.com/artist/4oV5EVJ0XFWsJKoOvdRPvl,2023-07-24,209953,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
"Damn The Man, Save The Empire",https://open.spotify.com/track/57ISsI9qQcAUkhiqwEMhxG,The Jaws Of Life,https://open.spotify.com/album/5Am1LFOFRwS94TaVzrFQwZ,Pierce The Veil,https://open.spotify.com/artist/4iJLPqClelZOBCBifm8Fzv,2023-02-20,237000,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
