track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Greyhound Station,https://open.spotify.com/track/28KVSnRg5u802o3e6Aji5p,I Love You / Greyhound Station,https://open.spotify.com/album/4OTg2qCDAhhlFrhPLjGJF7,Arny Margret,https://open.spotify.com/artist/0is0GJzcvwz5jg1qVZyOwW,2025-02-20,169740,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Harmony From Dissonance,https://open.spotify.com/track/4YVG7WaFjdLHIiy5dByavP,Harmony From Dissonance,https://open.spotify.com/album/5KHzBUPSOLXAxBJ8GuOBvI,Timo de Jong,https://open.spotify.com/artist/0T34mF36A6mzLMqC0uoz7x,2024-03-07,205874,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Hear My Dear,https://open.spotify.com/track/7znaTjqonnsPcuQpOcQ7nT,I Am The Moon: I. Crescent,https://open.spotify.com/album/7tiugISIhitNyFnMRQBhIq,Tedeschi Trucks Band,https://open.spotify.com/artist/2gFsmDBM0hkoZPmrO5EdyO,2023-02-23,334600,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Heartless,https://open.spotify.com/track/6QXhBSDthWBH7e6uQjfWFn,Heartless,https://open.spotify.com/album/4yJlgo1yOViRYT0lMTIbxm,Nathaniel Rateliff & The Night Sweats,https://open.spotify.com/artist/02seUFsFQP7TH4hLrTj77o,2024-04-18,198456,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Heat of the Moment,https://open.spotify.com/track/60wwe08CizhZJYDoFC8O1i,A Heightened Sense of Everything,https://open.spotify.com/album/5Ln1l27n8H7F1aVaYBEWng,Jon Allen,https://open.spotify.com/artist/5ajIkPBUamM5hTDLtrpTBa,2023-08-29,208440,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Heavy,https://open.spotify.com/track/0aw9eYHRnhcOCKRGUmg8mB,Heavy,https://open.spotify.com/album/53vlkY1WXAW0MWRgGqR74z,"Jack Jarryd, Sophia","https://open.spotify.com/artist/5Dam89i2XdJgnz3Gk9Achk, https://open.spotify.com/artist/4dI2I5YRyIvaVQksYnx9Zd",2024-07-19,214186,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
High Heels,https://open.spotify.com/track/4M3uKxjhfTLfQidMDgEEgC,Country Coming Down,https://open.spotify.com/album/3hYtvhC4TBoNfoWgtioNMR,Paul Cauthen,https://open.spotify.com/artist/6yHM0XQEdu9sIlbILMaKBp,2023-02-23,202223,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Highway Queen,https://open.spotify.com/track/3E7z1rLE9rR2rhTW3TeXGo,Highway Queen,https://open.spotify.com/album/5IDhjEAh7I0P8IXf5YIiiv,Mt. Joy,https://open.spotify.com/artist/69tiO1fG8VWduDl3ji2qhI,2024-03-07,212470,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Highway Queen (feat. Maren Morris),https://open.spotify.com/track/4KjOZ6Ny13zPbBFH7Od8bt,Highway Queen (feat. Maren Morris),https://open.spotify.com/album/6UzzFc365CidnoOcEfs3qb,"Mt. Joy, Maren Morris","https://open.spotify.com/artist/69tiO1fG8VWduDl3ji2qhI, https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI",2024-09-12,211485,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Holding On,https://open.spotify.com/track/4Q5KEZORwgsmQfP9H4Z2M6,Holding On,https://open.spotify.com/album/3m9FmFnqFgKJ1XWgZSHUBE,Mick Stender,https://open.spotify.com/artist/4iRkCYOHNpZ4QKzRQ1GahA,2023-05-31,186920,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Holy Water,https://open.spotify.com/track/3uHKEi9VopbcnCdPu3Akbk,Things Happen That Way,https://open.spotify.com/album/4j2PonMiWYk1uBK6jXOKP2,Dr. John,https://open.spotify.com/artist/320TrJub4arztwXRm7kqVO,2023-02-23,204800,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Home Is Where...,https://open.spotify.com/track/3joE5kBQ4R85LrU8NG4SdZ,Home Is Where...,https://open.spotify.com/album/5P2b8CbIX0kBW2vRLdx5wo,John Engel,https://open.spotify.com/artist/3HMnypHJS8kCT5JeKsEmzZ,2023-02-23,279919,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Honestly,https://open.spotify.com/track/1i2pcGWcErOOZKvanPg0Xw,Landscapes,https://open.spotify.com/album/3yIiya62yX6iAwGrOYwHpT,June Road,https://open.spotify.com/artist/3SVB9qKuL59RmG34jrlfRJ,2024-08-29,211633,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Honey I Do - Single Edit,https://open.spotify.com/track/2uAtTi6zk3Kw8JKDreIbE6,Honey I Do,https://open.spotify.com/album/3JT8wKpkMMfbhT3tJK84eK,The Coo,https://open.spotify.com/artist/2SE0r4tVfer1MovFCIb58g,2024-08-29,216160,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
How Did We Get To Goodbye,https://open.spotify.com/track/0QUij64RHqhEEPLFhFBDMc,How Did We Get To Goodbye,https://open.spotify.com/album/6oDyjJGpgwgvb3N19B8Gxq,Danielle Nicole,https://open.spotify.com/artist/34mu675oQQ5ZNuK1soZrIn,2023-12-01,279138,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
