track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Dopesick,https://open.spotify.com/track/0DoLl8JJWmPHSRycONamMW,Guard Dog Graveyard,https://open.spotify.com/album/6ISIvx7h8qAVz2T6d5jE7J,emogen33,https://open.spotify.com/artist/0Edca08DHBA2rZhuYmgl5g,2024-08-06,128250,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
down in flames,https://open.spotify.com/track/1jGbLS60uy5C4aehoXNWRd,saoirse dream,https://open.spotify.com/album/0iMdIvbngcHvkwtFlq856q,saoirse dream,https://open.spotify.com/artist/2xNs2zfnh52ORUTI4Qfvxf,2025-02-28,235828,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Drained,https://open.spotify.com/track/3ISjtbkPZgp4kQaGuNcQwR,Drained,https://open.spotify.com/album/3FDlszVMTptRq3PXkGbw4p,ABSRDST,https://open.spotify.com/artist/0F4rneT54YD3eaWYXUXvFM,2024-11-01,242666,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
dreamt it was real,https://open.spotify.com/track/7usXX81C7m7Hpohw0taLYe,Delaware House,https://open.spotify.com/album/2UkfXdP5vvZwuG2ElXRoxy,title it yourself,https://open.spotify.com/artist/0LZvZ0ULi9DitQeaG5M3VW,2024-08-04,171050,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Dumbb,https://open.spotify.com/track/0jDBriwCIAbVt7XC8PeNME,Elmur Energy,https://open.spotify.com/album/4xI0VPdsEgLRpwojQcJzu3,ELMUR,https://open.spotify.com/artist/1wiPtax5queGP5dSz5vviY,2024-05-19,61552,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Ecstasy,https://open.spotify.com/track/7vpLsbJ74y5xg2PPe97WHm,Ecstasy EP,https://open.spotify.com/album/5XEMVlHCDPSOTud8oIDwPh,"ZephyrInTheWind, Zenny","https://open.spotify.com/artist/2lqQ3jGN37e45ZjxAvRT1E, https://open.spotify.com/artist/5SMFP03GsMF9j28hEzbdQM",2024-11-21,232973,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
edge of time,https://open.spotify.com/track/6gB9Aawe3IJG17x1gjONev,cheshire days,https://open.spotify.com/album/1hLHnPf5helwdhFCOgGjSi,Ashley Ninelives,https://open.spotify.com/artist/75f7kE3UP14RoDP8tEAPnE,2024-12-10,206250,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Eight Hundred Miles,https://open.spotify.com/track/0n0u5eWNOg9KTgRwCj7qrm,Ideation,https://open.spotify.com/album/4p4hhSKUzls8z9kLGkcoh0,Final Messenger,https://open.spotify.com/artist/2DjeuaCtAeA58tkOQVlNoh,2025-01-03,231428,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
ELEMENTS,https://open.spotify.com/track/6zEF9hbtbsEkPlDwEgZMDp,ELEMENTS,https://open.spotify.com/album/5kvZxkcL25X7FEZsIOlw47,wolfears,https://open.spotify.com/artist/0KH2J9H1plokYrluA5UJRi,2024-09-06,207230,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Embrace My Sin,https://open.spotify.com/track/4JQ66ezm9aUMd4eG6rWhMO,Embrace My Sin,https://open.spotify.com/album/0WUKvIFzldF7XoQmFDdPel,Fly To The Night,https://open.spotify.com/artist/0iy9HnsI5Dalerbz1Vr5AV,2024-07-12,199687,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
enby,https://open.spotify.com/track/7hqHsQlwymS7BIT53hzi9L,enby,https://open.spotify.com/album/708Sdmpbu2yG1BmXiEX2Yu,fauxx,https://open.spotify.com/artist/4smmSBpafc7gjOz5qIB8mU,2024-07-12,137674,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
ENOUGH 4 U,https://open.spotify.com/track/6iOOVsIcmpFSF0Jw4gZOF6,ENOUGH 4 U,https://open.spotify.com/album/5C81xOkNjPpcEv47vVktYi,"f0xtr0t, meer","https://open.spotify.com/artist/671ydWFXmxU9Y7p8I8NaeN, https://open.spotify.com/artist/7guxb1KDkQyvp4OUEolmsx",2024-05-19,119058,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Eunuchorn,https://open.spotify.com/track/2iwC8s6kq25it3QzDnu964,Cicada Cicatrice,https://open.spotify.com/album/5zfWSHDda5Uu7QXUAqibfs,Deeps Repus,https://open.spotify.com/artist/0tzbuJgJZC3JQkL0StGHvz,2024-04-12,210096,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
extreme metal,https://open.spotify.com/track/0Si8EAjX3fwcjJjekm9OOE,extreme metal,https://open.spotify.com/album/3vlxhtYayJjJopVexsdpS3,carter c,https://open.spotify.com/artist/0uV7gNXQdzaZA0GjgeUdE6,2024-07-22,131250,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
