track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Cherie Amour,https://open.spotify.com/track/6oNJCUdZA3gbeLt2qOj2aj,Cherie Amour,https://open.spotify.com/album/3utwOm4ngukOV3psBSX9hS,Sebastian Gaskin,https://open.spotify.com/artist/1wDv2K6zsBFPYoFregJ4Za,2024-07-27,255081,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
CHIHIRO,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,2024-05-27,303440,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Church,https://open.spotify.com/track/2CuozTAQkXtwB4eQ0lMbyG,Church,https://open.spotify.com/album/1Q303HZ7KT6B5xGlfJBF6c,Owen Riegling,https://open.spotify.com/artist/0FDlMMfT3tLEKM0QdEIHYu,2024-08-19,211426,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Close To You,https://open.spotify.com/track/5MPi9e7z46wopyad10R6qx,Close To You,https://open.spotify.com/album/2gxGzfvXQvjVbQiuVcfKDM,Gracie Abrams,https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5,2024-06-10,225973,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Coal,https://open.spotify.com/track/4dtIxANFBU6CfhI9c2hf2g,Coal,https://open.spotify.com/album/5c5a2dLd2qLVN5zlaOcKJQ,Dylan Gossett,https://open.spotify.com/artist/4H4M0Y4cN39zIVDHvdW53x,2023-12-01,194440,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Cold Heart - PNAU Remix,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,Cold Heart (PNAU Remix),https://open.spotify.com/album/5D8Rdb09BkmHscEGSWAlA6,"Elton John, Dua Lipa, PNAU","https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b, https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we, https://open.spotify.com/artist/6n28c9qs9hNGriNa72b26u",2023-12-01,202735,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Complicated,https://open.spotify.com/track/3GtjS01mYbI1FGUr9xy29d,Complicated,https://open.spotify.com/album/4KHD5LGWqkmyZSyZOU08l0,Josh Ross,https://open.spotify.com/artist/1ZGTSMjK1D2HrpPTOh916U,2024-04-01,177313,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Contemporary Love,https://open.spotify.com/track/3jibxarV3Y32C8R3AhjrRf,Contemporary Love,https://open.spotify.com/album/2O5vTJTN8GAch6g0n9gBsJ,Rêve,https://open.spotify.com/artist/06vEAqcicwoSBw85e8biJx,2023-12-01,167570,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Corazón (Feat. Bomba Estéreo),https://open.spotify.com/track/4fUoX5rgq5Ep2cCVxAeBeh,Corazón (Feat. Bomba Estéreo),https://open.spotify.com/album/7ix2EWiNF7gDXdXoy99NjK,"Nelly Furtado, Bomba Estéreo","https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc, https://open.spotify.com/artist/5n9bMYfz9qss2VOW89EVs2",2024-07-15,157503,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Cowgirls (feat. ERNEST),https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,One Thing At A Time,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,"Morgan Wallen, ERNEST","https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM, https://open.spotify.com/artist/4GGfAshSkqoxpZdoaHm7ky",2024-05-06,181621,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Creatures in Heaven,https://open.spotify.com/track/1e7EdcxkUPFZWfuY4VI3rh,Creatures In Heaven,https://open.spotify.com/album/6l3Qxnvv49CGolilrSvsd3,Glass Animals,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,2024-04-07,221670,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Creepin' (with The Weeknd & 21 Savage),https://open.spotify.com/track/7jHi6opPq439ruUlfH90Aw,HEROES & VILLAINS,https://open.spotify.com/album/5aQFjsRw6rieK5oDNgGRyB,"Metro Boomin, The Weeknd, 21 Savage","https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp, https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ, https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft",2023-12-01,221520,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Cruel Summer,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,Lover,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-12-01,178426,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Cry For Me,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI,Hurry Up Tomorrow,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2025-02-02,224136,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
DAMAGE,https://open.spotify.com/track/5x7Xv7v0UO5BPDGas3Zyak,DAMAGE,https://open.spotify.com/album/4omVNZeB8EhBJKOVwntP3j,Lights,https://open.spotify.com/artist/5pdyjBIaY5o1yOyexGIUc6,2024-09-29,201217,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Dance Alone,https://open.spotify.com/track/5BnL7i0syYE3KK8RgbK6hn,Dance Alone,https://open.spotify.com/album/1CJFY6yBSHhos1JkjSVBK8,Preston Pablo,https://open.spotify.com/artist/5TvdGhdmRObqOkU6eGfXb5,2023-12-01,184000,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Dance Alone - Qing Madi & Nonso Amadi Remix,https://open.spotify.com/track/3hS56srxJHe84zPZcLx8fO,Dance Alone (Qing Madi & Nonso Amadi Remix),https://open.spotify.com/album/2FjxxvsyNNw6y20KxvxTDa,"Preston Pablo, Qing Madi, Nonso Amadi","https://open.spotify.com/artist/5TvdGhdmRObqOkU6eGfXb5, https://open.spotify.com/artist/0ZvsEkINadmEV4qzS4ollh, https://open.spotify.com/artist/6pOz4M7D8ENqfLSFvciEuV",2024-04-19,166617,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Dancing In The Flames,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,Dancing In The Flames,https://open.spotify.com/album/5XsZ5ZTcIHnZxjynaGxA0g,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2024-09-15,220036,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Daylight,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,Daylight,https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv,David Kushner,https://open.spotify.com/artist/33NVpKoXjItPwUJTMZIOiY,2023-12-01,212953,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Dead Man,https://open.spotify.com/track/175ApsLKPzdEeEiibmtqFQ,Dead Man,https://open.spotify.com/album/2bXR6WDlDnm31wMvAd0MhB,Alessia Cara,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,2024-07-21,203343,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Deeper Well,https://open.spotify.com/track/2lJn77IeZAP9cmv6DPXOrL,Deeper Well,https://open.spotify.com/album/2NXiMKrwmPrqU8epp20pW8,Kacey Musgraves,https://open.spotify.com/artist/70kkdajctXSbqSMJbQO424,2024-02-16,232133,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
DEVIL IS A LIE,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,https://open.spotify.com/album/4WvcBQIZXspq4MYyEPNem2,Tommy Richman,https://open.spotify.com/artist/1WaFQSHVGZQJTbf0BdxdNo,2024-06-17,130944,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
