track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
BOOM,https://open.spotify.com/track/6iC7vapdKp0XlKhxOkp8QJ,BOOM,https://open.spotify.com/album/47wyCwrChF50ZTFNOuWx99,"Tiësto, Sevenn, Gucci Mane","https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z, https://open.spotify.com/artist/7bNqXqIrIfwJnipx7oGeU4, https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo",2022-06-09,179512,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Bops,https://open.spotify.com/track/72vMwCjJuRRa1r0bhFBbE1,Bops,https://open.spotify.com/album/2wVIh2YkTMZgjQf64sbPFM,Coi Leray,https://open.spotify.com/artist/6AMd49uBDJfhf30Ak2QR5s,2023-04-30,128666,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Bounce Back,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,I Decided.,https://open.spotify.com/album/0XAIjjN5qxViVS0Y5fYkar,Big Sean,https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh,2022-06-09,222360,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Breathe,https://open.spotify.com/track/5NAOhPAZ57eFAXr3qatS6i,2093,https://open.spotify.com/album/1jXYc5gip5tqCTDOotfY5L,Yeat,https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx,2024-05-23,170847,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Breathe,https://open.spotify.com/track/6PonePtFLgFR45B7MgxpX7,2093 (P2),https://open.spotify.com/album/7aUeYDjGYo8wMKcpeGFRbg,Yeat,https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx,2024-02-20,170847,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Broke Boys,https://open.spotify.com/track/45pUWUeEWGoSdH6UF162G8,Her Loss,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6,"Drake, 21 Savage","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft",2024-05-23,225439,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Bussin,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq,Bussin,https://open.spotify.com/album/5cs7xv0RHTRhw9S7vw529n,"Nicki Minaj, Lil Baby","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh, https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",2022-06-09,136760,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Call Me Revenge - Call of Duty: Modern Warfare 3,https://open.spotify.com/track/6m0S4wcG6sTCP010ZrgdJI,Call Me Revenge (Call of Duty: Modern Warfare 3),https://open.spotify.com/album/7ISArb5GeVeJ6O65wUyIux,"21 Savage, d4vd","https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft, https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32",2023-12-11,166464,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Calling For You (feat. 21 Savage),https://open.spotify.com/track/2nibvvDdAQkVraYP00z2RS,For All The Dogs,https://open.spotify.com/album/4czdORdCWP9umpbhFXK2fW,"Drake, 21 Savage","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft",2023-12-11,285630,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
Can't Get Rid Of Me (feat. Fergie Baby),https://open.spotify.com/track/2EoSee89OYP7n6mwxCHSlq,Can't Get Rid Of Me (feat. Fergie Baby),https://open.spotify.com/album/5HsEj4CtAE03sm0H76uPhe,"HDBeenDope, Fergie Baby","https://open.spotify.com/artist/7nE3HHVn8oM8s3kA6cbL8O, https://open.spotify.com/artist/4wFiOK5gZqg6tk4wvVansa",2023-05-28,150503,2022-06-10,"Hip Hop workout hits to get your mental right and blood pumping. Soundtrack your workout with heavy-hitting bangers from Kendrick Lamar, Offset, Travis Scott, Drake and more!  High Energy Rap | Hip Hop Workout | Rap Bangers | Rap Workout",Workout Bangers 💪 ULTIMATE GYM HIP-HOP
