track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Cruel Summer,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,Lover,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-08-13,178426,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Dance The Night - From Barbie The Album,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu,Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,2023-06-11,176579,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Dancing In The Flames,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,Dancing In The Flames,https://open.spotify.com/album/5XsZ5ZTcIHnZxjynaGxA0g,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2024-09-29,220036,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
DEGENERE 👑 (feat. benny blanco),https://open.spotify.com/track/4xISUrw0t2elabEhKrtAJ0,DEGENERE 👑 (feat. benny blanco),https://open.spotify.com/album/2ONEbIxBKRNvD2x4kCdsO4,"Myke Towers, benny blanco","https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W, https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa",2025-01-12,130880,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
DIABLA,https://open.spotify.com/track/5lDRfQXgTA985GAb0ngSHi,DIABLA,https://open.spotify.com/album/2amTmaItOxGECKzmyCHHF0,"Figa Flawas, Mushkaa","https://open.spotify.com/artist/2enhM5DK9oTxWiCVpFIDv3, https://open.spotify.com/artist/3jU5LKRsimuyZjA0lSkdPp",2023-12-10,162471,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Die With A Smile,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,Die With A Smile,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N,"Lady Gaga, Bruno Mars","https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms, https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",2024-10-20,251667,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Dins del meu cap,https://open.spotify.com/track/5AxKeSyenbb6lH0xYF5kjk,Dins del meu cap,https://open.spotify.com/album/1IFZOhoZpcCzCGly6B2ewd,Miki Núñez,https://open.spotify.com/artist/2hahtdJusGYC77DKod4qfB,2024-05-12,180092,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Doctor (Work It Out) [feat. Miley Cyrus],https://open.spotify.com/track/4f9wNNZET9wH7eMBgONd3d,Doctor (Work It Out) [feat. Miley Cyrus],https://open.spotify.com/album/2kJunH6dfHcjJa0lxZbRKr,"Pharrell Williams, Miley Cyrus","https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8, https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6",2024-03-24,182221,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Dreaming,https://open.spotify.com/track/4NUmZ5svM1Bbmaz5udqUeJ,Dreaming,https://open.spotify.com/album/7msKLkViyWdF6X3QdlC6wK,"Marshmello, P!nk, Sting","https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T, https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR, https://open.spotify.com/artist/0Ty63ceoRnnJKVEYP0VQpk",2023-11-12,170261,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
DtMF,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2025-02-09,237117,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
