track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Do It Like That,https://open.spotify.com/track/7kaFsQygyiCqRboWCXztxZ,Do It Like That,https://open.spotify.com/album/0Z1ebaoFTQDDzebTh3fD2P,"TOMORROW X TOGETHER, Jonas Brothers","https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB, https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD",2023-12-11,145065,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Do not touch,https://open.spotify.com/track/5gq7xM6eI16osBO2U581NL,Masterpiece,https://open.spotify.com/album/3qmO83vO1SsdmP1Y0ljhSQ,MISAMO,https://open.spotify.com/artist/0IwZVmMMGE7nNXS7vN9SIo,2023-12-11,185600,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Double Take,https://open.spotify.com/track/1p7IMZSMTPsKlN7jj8Oq27,TWS 2nd Mini Album 'SUMMER BEAT!',https://open.spotify.com/album/03QRqvvQFLDaJM711Gkn03,TWS,https://open.spotify.com/artist/4GgBKgxhc649frZDHcXIEz,2024-09-06,139493,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Drama,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew,Drama - The 4th Mini Album,https://open.spotify.com/album/5NMtxQJy4wq3mpo3ERVnLs,aespa,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,2024-05-18,214973,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Dunk Shot,https://open.spotify.com/track/3bSiun4NYEYvoer5zfSMPt,Steady - The 1st Mini Album,https://open.spotify.com/album/3fWEp6LTn7hHD4w3Oo4hvF,NCT WISH,https://open.spotify.com/artist/4FqmqIspLaUGtxAFFLsZxc,2024-09-24,179426,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
"Earth, Wind & Fire",https://open.spotify.com/track/0Tq7v8YAmwdnAYBwyR1pZ4,HOW?,https://open.spotify.com/album/2p5IDUbayBHcmcgSNIQx6V,BOYNEXTDOOR,https://open.spotify.com/artist/4hnHLgMSOiqERWBL4jINP1,2024-04-30,179040,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
EASY,https://open.spotify.com/track/2O4Bb2WCkjlTPO827OnBMI,EASY,https://open.spotify.com/album/1YCj4PZi08G20y2ekGKY0C,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2024-02-20,164545,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
ETA,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,NewJeans 2nd EP 'Get Up',https://open.spotify.com/album/4N1fROq2oeyLGAlQ1C1j18,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-12-11,151373,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Eyes on you,https://open.spotify.com/track/7qkv7ZLTIMkObkyhNo6sdQ,SEVENTEEN 12th Mini Album 'SPILL THE FEELS',https://open.spotify.com/album/4xggkS8rdsJL3dgji8zW6W,SEVENTEEN,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,2024-11-12,174506,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Fact Check,https://open.spotify.com/track/5EtiQveQFQy0R05hLVDyKv,Fact Check - The 5th Album,https://open.spotify.com/album/0BJU07UQiBbB2bLLJg2ktr,NCT 127,https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH,2023-12-11,184653,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
