track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
amnesia,https://open.spotify.com/track/33EPuIJQwfcm82vhTGJXyj,amnesia,https://open.spotify.com/album/6N7m2bKMX2KklL0ELXoGCH,Camylio,https://open.spotify.com/artist/2Mf6MBoMOgpxxm3QuH9Tk4,2022-10-31,172723,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Amoeba,https://open.spotify.com/track/0HAqq2GcQKyi3s87GuN7jU,Sling,https://open.spotify.com/album/32ium7Cxb1Xwp2MLzH2459,Clairo,https://open.spotify.com/artist/3l0CmX0FuQjFxr8SK7Vqag,2022-06-06,228922,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Amore,https://open.spotify.com/track/04NO5JILiZ79m8QdhqKvvq,Amore,https://open.spotify.com/album/6wTgR9AzUZKPhZrQTdciMW,"CHIAMRO, Chiaraspureluv, Samrosauvage","https://open.spotify.com/artist/77sBjqP1vgO5lpmKUC5576, https://open.spotify.com/artist/5e8vt3hrE78mvyxNpvHiUb, https://open.spotify.com/artist/1KkRdQ4yPNxbROhxa1i3T9",2025-02-28,125186,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
anatomy,https://open.spotify.com/track/7r2DoJ1tzl12CJ3fbsmoUT,anatomy,https://open.spotify.com/album/1HqB6FRF465zbiakkjsCLg,kenzie,https://open.spotify.com/artist/5pWUVnrc1y0FpWZ6VCy0Hg,2023-07-24,182073,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Angel Baby,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc,Angel Baby,https://open.spotify.com/album/44CdsgXhU5R2esprq0tf43,Troye Sivan,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,2022-06-10,220779,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
ANGOSTURA,https://open.spotify.com/track/38umMmZQdeoOG7Zojor4g3,GABRIEL,https://open.spotify.com/album/1WVIJaAboRSwJOe4u0n0Q7,keshi,https://open.spotify.com/artist/3pc0bOVB5whxmD50W79wwO,2022-06-06,171019,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Annabel's House,https://open.spotify.com/track/135eVQKIKw2AoiwvXZFMNR,Annabel’s House,https://open.spotify.com/album/1kSmOpr8kRWyD11Wt0zJ9m,Lola Young,https://open.spotify.com/artist/67FB4n52MgexGQIG8s0yUH,2023-01-30,205381,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Anti-Hero - Acoustic Version,https://open.spotify.com/track/2d3d9xZutJjmUpntiyHt3F,Anti-Hero (Acoustic Version),https://open.spotify.com/album/5vgWXUueeEU2labRz6TlNv,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2022-11-28,196473,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Antibiotics,https://open.spotify.com/track/0gffR4rGlFYmItmRD9pkMM,Antibiotics,https://open.spotify.com/album/3E7prZK3ZOiIAWqGs792ji,Lowertown,https://open.spotify.com/artist/1yI0RRPnOA9BFJmiZ6cEzw,2022-09-21,186741,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Antichrist,https://open.spotify.com/track/2mvNAfnzB2gKVmLmNusrHR,Antichrist / Room Service,https://open.spotify.com/album/4jqlP0cYR2KLC3FDppEKC5,Holly Humberstone,https://open.spotify.com/artist/0nnYdIpahs41QiZ9MWp5Wx,2023-07-03,200911,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
