track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Gradation,https://open.spotify.com/track/775S83AMYbQc8SYteOktTL,5.3 (Gradation),https://open.spotify.com/album/4uqihIyXomdsr6ttzYwKjG,10CM,https://open.spotify.com/artist/6zn0ihyAApAYV51zpXxdEp,2023-11-03,201280,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Guardian,https://open.spotify.com/track/1hXpqrmqmlYMfpF23fb8mK,BASTIONS OST Part.4,https://open.spotify.com/album/0pjWgLVCGDd3mEJIOIqE0k,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2023-11-03,158980,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Gulliver,https://open.spotify.com/track/7HB3OUMUrZDdS0XnQ9h8Wr,Street Man Fighter Original Vol.2 (Original Television Soundtrack),https://open.spotify.com/album/5ZxaSeVDBBvSKDLXbCSLYU,Kang Seung Yoon,https://open.spotify.com/artist/2Ip3x4XtEEhlGg8qI146jL,2024-03-27,183635,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
HANGANG (Feat. BIG Naughty),https://open.spotify.com/track/25QGSFaB28MnIp7CIX1Nkk,HANGANG,https://open.spotify.com/album/3VF7eXNnX3jEgJVAPcC7BM,"Paul Kim, BIG Naughty","https://open.spotify.com/artist/4qRXrzUmdy3p33lgvJEzdv, https://open.spotify.com/artist/7cEaNXXTHx3LokbjUUyHal",2023-11-03,199133,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Happy me from today (Feat. Lee Sangsoon),https://open.spotify.com/track/5dYHwnVY9Knvz7M3iuu8cL,Happy me from today,https://open.spotify.com/album/2wkTfa0Rofkwf3CN1TJvFP,"Lee Hyori, Lee Sang Soon","https://open.spotify.com/artist/4FjoOJAndC0s9ZJUo6VGc5, https://open.spotify.com/artist/2k5qXj4B0cMlBbLJOVQMUJ",2024-03-27,236933,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Happy Song,https://open.spotify.com/track/1eUQ5JMD5vGz24Wxcq8fDv,"Our Blues, Pt. 7 (Original Television Soundtrack)",https://open.spotify.com/album/5CkqLnLIpyWKmt6iUIhW5s,MeloMance,https://open.spotify.com/artist/6k4r73Wq8nhkCDoUsECL1e,2023-11-03,237030,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
He Loves Me (With Windy),https://open.spotify.com/track/5zcqzLiXvZc68HAPJaE8LL,He Loves Me (With Windy),https://open.spotify.com/album/56WFA9DY6elZw9uPt2xGcL,Standing Egg,https://open.spotify.com/artist/6a3Mfrn2XBR1DfPg1QGa1d,2024-03-08,239151,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Hero,https://open.spotify.com/track/47UgaY4CRz8PyzJ6KtBm82,Hero,https://open.spotify.com/album/2qeoNeByTFBqLT4meBSDBM,LAS,https://open.spotify.com/artist/4tObzkvo2Bc9EoWszG8gY4,2024-03-08,150250,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Heroine,https://open.spotify.com/track/5gA9Xn8oPts2aewPgxVkPD,Heroine,https://open.spotify.com/album/4lWDPUQmrZPyO9T9pWfZc2,SUNMI,https://open.spotify.com/artist/6MoXcK2GyGg7FIyxPU5yW6,2023-11-03,195000,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
"Hey kid, Close your eyes (with Lee Sun Hee)",https://open.spotify.com/track/4Cgct9Vlype9cYZFW2wSnk,NEXT EPISODE,https://open.spotify.com/album/0Pt0eGpyNO5dDN8PORypSy,"AKMU, Lee Sun Hee","https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv, https://open.spotify.com/artist/4ZQVfuvon3XnGYkjTSey1O",2023-11-03,233416,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Honestly,https://open.spotify.com/track/5HB8Olk0vxhv8ynsh1x04y,LIMELIGHT DEBUT EP 'LOVE & HAPPINESS',https://open.spotify.com/album/6bGjdmkGl8QqTa1ElccP3C,LIMELIGHT,https://open.spotify.com/artist/1mDDvUPSs2dSr4QKAQmOql,2023-11-03,189746,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
HOODIE E BANBAJI,https://open.spotify.com/track/3VNlscYTSeZqbREFoOe3KE,HOODIE E BANBAJI,https://open.spotify.com/album/7k3M7ITqDwJwlMirEAL7SZ,Lee Hyori,https://open.spotify.com/artist/4FjoOJAndC0s9ZJUo6VGc5,2023-11-03,189973,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
I,https://open.spotify.com/track/5ZkITfPpcNPnyYGTibkO6m,I - The 1st Mini Album,https://open.spotify.com/album/4e7kLQu7SKBUiMtV5WH3A1,"TAEYEON, Verbal Jint","https://open.spotify.com/artist/3qNVuliS40BLgXGxhdBdqu, https://open.spotify.com/artist/24sQuJhQ85ZygDG7sUVUxR",2023-11-03,206038,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
I FLY,https://open.spotify.com/track/3YW9BZAvwIvXF6C7D3cN6r,오늘의 웹툰 (Original Soundtrack) Pt. 1,https://open.spotify.com/album/0eWeQtF47FUpI8kRLDEiCp,JIHYO,https://open.spotify.com/artist/7F1iAHRYxR3MY7yAEuFqgL,2023-11-03,230597,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
