track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Geode,https://open.spotify.com/track/4A3R99wrRI6LgtB4Fp9LiI,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Gemp, sinnr","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7aGBJiUws3qcoRhY2lUizy, https://open.spotify.com/artist/4rgy5K4lHDLbaSC1MMuY5m",2021-12-10,148359,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Golden,https://open.spotify.com/track/06XvU3aKoRqc2326qbrH9e,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Idealism","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/6YJ4EgQzDfJnIHRbqIHAdD",2021-12-10,185390,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Growing Flowers,https://open.spotify.com/track/5N5uXvnhYXYYWI5gP9alKr,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, xander.","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/6ysKfYgiKUTMCuq2fSTLK3",2021-12-10,137109,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
High Tide,https://open.spotify.com/track/6tWkyNe8EcBZI1I4FJmVo4,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, Kupla","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7daSp9zXk1dmqNxwKFkL35",2021-12-10,146028,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Hollow,https://open.spotify.com/track/0YYlhkCdys93aoZ6C5nzv6,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Hanz","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/1eL4DVwObeAZjGOVjASAXd",2021-12-10,144375,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Home Is Where My Heart Is,https://open.spotify.com/track/1k9ojqgh1TfMwnUemEn1YP,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, Kupla","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/7daSp9zXk1dmqNxwKFkL35",2021-12-10,113906,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Hyperion's Tale.,https://open.spotify.com/track/3RutI9kgRA2MCYNufCmd3f,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, chromonicci","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/746nA9NSKsqBDRk343UtkE",2021-12-10,177077,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
I Exist,https://open.spotify.com/track/2VveFtUTyyN9rEbT1Ex6t4,Sessions: Vi,https://open.spotify.com/album/4WvKA2Da1YSVLyrW6aTNaK,"League of Legends, sinnr","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/4rgy5K4lHDLbaSC1MMuY5m",2021-12-10,127479,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
i'll see you again,https://open.spotify.com/track/7d2pM027AXFpLIhhWq91AP,Sessions: Star Guardian Taliyah,https://open.spotify.com/album/5a3R3wxx4SURufgfrgxwdV,"League of Legends, suteki","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/0P0NIfeV03o2Bdf1q0xlDE",2022-07-14,214151,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
Imagination,https://open.spotify.com/track/0PUqqdWEVcU819xdQmebrm,Sessions: Diana,https://open.spotify.com/album/524MIbuattv09j7FW5NVu2,"League of Legends, xander.","https://open.spotify.com/artist/47mIJdHORyRerp4os813jD, https://open.spotify.com/artist/6ysKfYgiKUTMCuq2fSTLK3",2021-12-10,226193,2024-01-30,Music developed in partnership with talented musicians; for use by anyone without concern of copyright strikes.,Sessions Official Playlist
