track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Don't,https://open.spotify.com/track/1huvTbEYtgltjQRXzrNKGi,x (Deluxe Edition),https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,2014-11-20,219840,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Drunk in Love (feat. Jay-Z),https://open.spotify.com/track/5EmCpD8tUj78VW3kgaEjME,BEYONCÉ,https://open.spotify.com/album/2noKUZhXwUhPQMgSr56T4G,"Beyoncé, JAY-Z","https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB",2014-11-20,323480,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Efter solsken,https://open.spotify.com/track/2dh07zmyCMoY64rQdJrXLe,Det blir vad du gör det till,https://open.spotify.com/album/0ZZPKcI9MClojLecRZguDs,Panetoz,https://open.spotify.com/artist/7DXjp1eSv6Xf759gmCiApa,2014-11-20,190013,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Faith - Radio Edit,https://open.spotify.com/track/7qcoZzfJ7HGOuR6fwTbZND,Faith (Remixes),https://open.spotify.com/album/5ai9kiJf84B0xsdyRjp8pa,Blasterjaxx,https://open.spotify.com/artist/37awA8DFCAnCCL7aqYbDnD,2014-11-20,183066,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Fancy,https://open.spotify.com/track/3W3KtDwAIg3mAruSpnfG3Q,The New Classic (Deluxe Version),https://open.spotify.com/album/3WUe1HRgE7qoUQ3oejofGf,"Iggy Azalea, Charli xcx","https://open.spotify.com/artist/5yG7ZAZafVaAlMTeBybKAL, https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5",2014-11-20,199938,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Ghost,https://open.spotify.com/track/4XPWKmy05Rcff6TLHNoNF8,Chapter One (Deluxe Version),https://open.spotify.com/album/6FM2zi33hm46NY9mk5jIV8,Ella Henderson,https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1,2014-11-20,213213,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
"Happy - From ""Despicable Me 2""",https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,G I R L,https://open.spotify.com/album/2lkQd5T32QHDOfFkEIPJKz,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,2014-11-20,232720,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Hela huset,https://open.spotify.com/track/71CFZjdSm2WSh5S6TPd69A,Handen i fickan fast jag bryr mig,https://open.spotify.com/album/6FDDd5kzWGXVm1qbKRGqEg,"Veronica Maggio, Håkan Hellström","https://open.spotify.com/artist/2OIWxN9xUhgUHkeUCWCaNs, https://open.spotify.com/artist/3H7Ez7cwaYw4L3ELy4v3Lc",2014-11-20,213480,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Heroes (we could be),https://open.spotify.com/track/0VYQK5I08homNvX8SRS37R,Heroes (we could be),https://open.spotify.com/album/2RE7Fq5gQ7K78MDwVBkkZ4,Alesso,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,2014-11-20,209866,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Hey Brother,https://open.spotify.com/track/3zKST4nk4QJE77oLjUZ0Ng,True,https://open.spotify.com/album/02h9kO2oLKnLtycgbElKsw,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,2014-11-20,255093,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
I See Fire,https://open.spotify.com/track/5pY3ovFxbvAg7reGZjJQSp,x (Deluxe Edition),https://open.spotify.com/album/1xn54DMo2qIqBuMqHtUsFd,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,2014-11-20,299146,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
I'm an Albatraoz,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,https://open.spotify.com/album/1qHVYbxQ6IS8YRviorKDJI,"AronChupa, Little Sis Nora","https://open.spotify.com/artist/5vCOdeiQt9LyzdI87kt5Sh, https://open.spotify.com/artist/1KYt3TMGpa1LtVi0m2A0F9",2014-11-20,166848,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Jubel - Radio Edit,https://open.spotify.com/track/0D2VYiRlBv43asKUgieZaM,Jubel (Radio Edit),https://open.spotify.com/album/7fkrTTjzWHgZQj7vizhTza,Klingande,https://open.spotify.com/artist/1L9i6qZYIGQedgM9QLSyzb,2014-11-20,201626,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
